	Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	
[L H1 H H VC] \-> L (H1) (H) H VC		0	3	0	0	0	0	2	0	1	3	5	1	3	1	1	0	1
[L H H1 H VC] \-> L (H) (H1) H VC		0	3	0	0	0	0	2	0	1	3	5	2	2	1	1	0	1
[L H H1 H VC] \-> L H (H1) (H) VC		0	3	0	0	0	0	2	0	1	5	3	2	2	1	1	0	1
[L H1 H L V:] \-> L (H1) (H) L V:		0	3	0	0	0	0	1	0	1	3	5	1	3	1	1	0	1
[L H1 H L VC] \-> L (H1) (H) L VC		0	3	0	0	0	0	1	0	1	3	5	1	3	1	1	0	1
[L H1 H H V:] \-> L (H1) (H) H V:		0	3	0	0	0	0	2	0	1	3	5	1	3	1	1	0	1
[L H H1 H V:] \-> L (H) (H1) H V:		0	3	0	0	0	0	2	0	1	3	5	2	2	1	1	0	1
[L H H1 H V:] \-> L H (H1) (H) V:		0	3	0	0	0	0	2	0	1	5	3	2	2	1	1	0	1
[L H1 H H V:C] \-> L (H1) (H) H V:C		0	3	0	0	0	0	2	0	1	3	5	1	3	1	1	0	1
[L H H1 H V:C] \-> L (H) (H1) H V:C		0	3	0	0	0	0	2	0	1	3	5	2	2	1	1	0	1
[L H H1 H V:C] \-> L H (H1) (H) V:C		0	3	0	0	0	0	2	0	1	5	3	2	2	1	1	0	1
[L H1 L L V:] \-> L (H1) (L L) V:		0	2	0	0	0	0	1	1	1	3	4	1	3	1	1	0	1
[L H1 L L VC] \-> L (H1) (L L) VC		0	2	0	0	0	0	1	1	1	3	4	1	3	1	1	0	1
[L H1 L L V] \-> L (H1) (L L) V		0	2	0	0	0	0	0	1	1	3	4	1	3	1	1	0	1
[L H1 L L V:C] \-> L (H1) (L L) V:C		0	2	0	0	0	0	1	1	1	3	4	1	3	1	1	0	1
[L H1 H L V:C] \-> L (H1) (H) L V:C		0	3	0	0	0	0	1	0	1	3	5	1	3	1	1	0	1
[L L H1 H V:] \-> (L L) (H1) H V:		0	2	0	0	0	1	2	1	1	2	5	2	2	0	1	0	1
[L L H1 H V:] \-> L L (H1) (H) V:		0	3	0	0	0	0	1	0	1	5	3	2	2	1	1	0	1
[L L H1 H V] \-> (L L) (H1) H V		0	2	0	0	0	1	1	1	1	2	5	2	2	0	1	0	1
[L L H1 H V] \-> L L (H1) (H) V		0	3	0	0	0	0	0	0	1	5	3	2	2	1	1	0	1
[L L H1 H VC] \-> (L L) (H1) H VC		0	2	0	0	0	1	2	1	1	2	5	2	2	0	1	0	1
[L L H1 H VC] \-> L L (H1) (H) VC		0	3	0	0	0	0	1	0	1	5	3	2	2	1	1	0	1
[L L H1 H V:C] \-> (L L) (H1) H V:C		0	2	0	0	0	1	2	1	1	2	5	2	2	0	1	0	1
[L L H1 H V:C] \-> L L (H1) (H) V:C		0	3	0	0	0	0	1	0	1	5	3	2	2	1	1	0	1
[H L1 L V:] \-> (H) (L1 L) V:		0	1	0	0	0	1	1	0	1	1	4	1	2	0	1	0	1
[H L1 L V:C] \-> (H) (L1 L) V:C		0	1	0	0	0	1	1	0	1	1	4	1	2	0	1	0	1
